series,j,corr
M0,-8,-.019170914
M0,-7,.24726567
M0,-6,-.099989429
M0,-5,-.14622079
M0,-4,.10420571
M0,-3,.33396316
M0,-2,-.053606119
M0,-1,-.12280176
M0,0,.035607595
M0,1,.29232296
M0,2,-.16179903
M0,3,-.20552242
M0,4,-.020452239
M0,5,.38211617
M0,6,-.15686542
M0,7,-.31371215
M0,8,-.1425067
M1,-8,-.093110152
M1,-7,-.15982965
M1,-6,-.12241158
M1,-5,-.30202609
M1,-4,-.14268647
M1,-3,.40597922
M1,-2,.77712309
M1,-1,.45030504
M1,0,.31931201
M1,1,.094352342
M1,2,-.078954659
M1,3,-.25042617
M1,4,-.20063782
M1,5,-.22902809
M1,6,-.12135646
M1,7,-.31483802
M1,8,-.2468676
M2,-8,-.051169194
M2,-7,.098973833
M2,-6,.1547187
M2,-5,-.050203741
M2,-4,-.25140595
M2,-3,-.057111237
M2,-2,.079368375
M2,-1,-.072261237
M2,0,-.29707596
M2,1,-.12993409
M2,2,.14615491
M2,3,.10183389
M2,4,-.21873669
M2,5,.047518186
M2,6,.27848154
M2,7,.18141027
M2,8,-.24478114
